Konjunktiv Formgleichheit,Konjunktiv erkennen a),Imperativ erkennen a),Imperativ erkennen b),Imperativ erkennen c),Imperativ erkennen d),Imperativ erkennen e),Indikativ erkennen a),Indikativ erkennen b),Indikativ erkennen c),Indikativ erkennen d),Konjunktiv II bilden a),Indikativ erkennen e),Konjunktiv II bilden b),Konjunktiv II bilden c),Unterschied Konjunktiv I/II,Konjunktiv erkennen b),Konjunktiv erkennen c),Konjunktiv erkennen d),Konjunktiv erkennen e),Schüler_in
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,Schüler:in01
0,100,100,100,100,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,Schüler:in02
0,100,100,100,100,100,100,100,100,100,100,0,100,0,0,100,100,0,0,100,Schüler:in03
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,Schüler:in04
0,100,100,100,100,100,100,100,100,0,100,0,0,100,100,100,100,100,0,100,Schüler:in05
0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,Schüler:in06
100,100,100,100,100,100,100,100,100,100,100,0,100,0,0,0,100,100,0,100,Schüler:in07
0,100,100,0,0,100,100,100,0,0,100,0,100,0,0,100,100,100,0,0,Schüler:in08
100,100,100,100,100,100,100,100,100,100,100,0,100,0,0,0,100,100,0,100,Schüler:in09
100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,Schüler:in10
0,0,100,0,100,100,100,100,0,0,0,0,0,0,0,100,100,0,0,0,Schüler:in11
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Schüler:in12
100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,Schüler:in13
0,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,Schüler:in14
100,100,100,0,100,100,100,0,100,100,100,100,100,0,100,100,100,100,0,100,Schüler:in15
100,0,0,0,100,100,0,0,100,100,0,0,100,100,100,100,0,0,0,0,Schüler:in16
100,100,100,100,100,100,100,100,100,100,100,0,100,0,0,0,100,100,0,100,Schüler:in17
100,100,100,100,100,100,100,100,100,100,100,0,100,0,0,100,100,100,0,100,Schüler:in18